id;start_date;end_date;language
1;2020-01-21T04:44:39;2020-01-21T02:34:54;SPANISH
2;2020-01-20T09:34:50;2020-01-21T04:39:15;SPANISH
3;2020-01-21T00:30:09;2020-01-20T11:04:18;FRENCH
4;2020-01-20T15:47:40;2020-01-21T03:19:06;FRENCH
5;2020-01-21T01:17:58;2020-01-21T06:04:57;FRENCH
6;2020-01-20T19:10:19;2020-01-21T07:18:33;FRENCH
7;2020-01-20T20:55:39;2020-01-20T14:46:30;FRENCH
8;2020-01-20T19:51:52;2020-01-21T06:08:00;SPANISH
9;2020-01-20T18:33:01;2020-01-20T15:14:24;SPANISH
10;2020-01-21T02:45:05;2020-01-20T13:19:35;SPANISH
